ID,Term,TOTAL,Cluster,Cluster_1Word
0,food,39264,1.0,food
1,service,19803,2.0,service
2,staff,7025,2.0,service
3,price,5075,3.0,price
4,atmosphere,3763,4.0,atmosphere
5,drink,2953,5.0,drink
6,server,2561,2.0,service
7,waiter,2463,2.0,service
8,menu,2394,6.0,menu
9,portion,2276,7.0,portion
10,waitress,1903,2.0,service
11,chicken,1675,8.0,chicken
12,ambiance,1511,4.0,atmosphere
13,salad,1473,9.0,salad
14,pizza,1449,9.0,salad
15,soup,1378,9.0,salad
16,reservation,1208,10.0,reservation
17,music,1174,4.0,atmosphere
18,appetizer,1163,5.0,drink
19,quality,1090,3.0,price
20,decor,1050,4.0,atmosphere
21,owner,1029,2.0,service
22,flavor,1025,8.0,chicken
23,lunch,998,10.0,reservation
24,sauce,952,8.0,chicken
25,dessert,911,5.0,drink
26,ambience,896,4.0,atmosphere
27,pasta,884,9.0,salad
28,steak,876,8.0,chicken
29,vibe,865,4.0,atmosphere
30,bread,862,9.0,salad
31,sushi,811,3.0,price
32,wait,809,10.0,reservation
33,people,799,2.0,service
34,dinner,788,10.0,reservation
35,taste,758,8.0,chicken
36,manager,732,2.0,service
37,table,727,10.0,reservation
38,rice,718,8.0,chicken
39,cuisine,681,11.0,cuisine
40,burger,674,9.0,salad
41,view,659,4.0,atmosphere
42,dish,659,6.0,menu
43,experience,647,12.0,experience
44,cocktail,646,5.0,drink
45,brunch,639,10.0,reservation
46,meal,630,1.0,food
47,wine,619,5.0,drink
48,dim sum,612,3.0,price
49,selection,611,6.0,menu
50,environment,570,4.0,atmosphere
51,entree,556,5.0,drink
52,shrimp,545,8.0,chicken
53,meat,531,8.0,chicken
54,location,515,4.0,atmosphere
55,wait staff,513,2.0,service
56,fish,512,8.0,chicken
57,fry,507,8.0,chicken
58,dumpling,498,8.0,chicken
59,bartender,492,2.0,service
60,calamari,487,8.0,chicken
61,curry,457,8.0,chicken
62,space,454,4.0,atmosphere
63,chef,446,2.0,service
64,tea,437,5.0,drink
65,seafood,432,8.0,chicken
66,hostess,428,2.0,service
67,sangria,424,5.0,drink
68,delivery,414,13.0,delivery
69,noodle,403,8.0,chicken
70,breakfast,402,10.0,reservation
71,wing,401,8.0,chicken
72,bar,399,4.0,atmosphere
73,coffee,379,5.0,drink
74,presentation,378,11.0,cuisine
75,fry rice,374,8.0,chicken
76,salmon,374,8.0,chicken
77,seating,365,4.0,atmosphere
78,host,362,2.0,service
79,tip,360,14.0,tip
80,parking,357,4.0,atmosphere
81,wait time,355,13.0,delivery
82,hummus,348,8.0,chicken
83,variety,347,6.0,menu
84,pho,347,8.0,chicken
85,lamb,337,8.0,chicken
86,taco,326,8.0,chicken
87,fried rice,315,8.0,chicken
88,pad thai,313,8.0,chicken
89,sandwich,295,8.0,chicken
90,lady,293,2.0,service
91,management,291,14.0,tip
92,plate,288,7.0,portion
93,employee,282,2.0,service
94,seat,279,10.0,reservation
95,time,279,13.0,delivery
96,breadstick,272,9.0,salad
97,bathroom,269,14.0,tip
98,food quality,265,3.0,price
99,crowd,262,10.0,reservation
100,cake,261,5.0,drink
101,pancake,259,8.0,chicken
102,cheese,259,8.0,chicken
103,desert,255,5.0,drink
104,kebab,247,8.0,chicken
105,special,237,15.0,special
106,place,236,4.0,atmosphere
107,hospitality,228,12.0,experience
108,restaurant,226,16.0,restaurant
109,soup dumpling,223,8.0,chicken
110,spring roll,223,8.0,chicken
111,ramen,221,8.0,chicken
112,portion size,220,7.0,portion
113,bill,220,,
114,octopus,219,8.0,chicken
115,side,219,,
116,interior,218,4.0,atmosphere
117,ingredient,217,11.0,cuisine
118,worker,213,2.0,service
119,beer,212,5.0,drink
120,attention,209,14.0,tip
121,naan,208,8.0,chicken
122,paella,204,8.0,chicken
123,line,201,13.0,delivery
124,beef,200,8.0,chicken
125,shawarma,196,8.0,chicken
126,park,196,4.0,atmosphere
127,value,193,3.0,price
128,duck,193,8.0,chicken
129,vegetable,190,8.0,chicken
130,lamb chop,188,8.0,chicken
131,falafel,182,8.0,chicken
132,lobster,180,8.0,chicken
133,hour,180,13.0,delivery
134,buffet,176,6.0,menu
135,bread stick,173,9.0,salad
136,ceviche,170,8.0,chicken
137,pork,169,8.0,chicken
138,pricing,166,3.0,price
139,dj,165,4.0,atmosphere
140,setting,164,4.0,atmosphere
141,main,163,5.0,drink
142,ravioli,160,8.0,chicken
143,rib,160,8.0,chicken
144,girl,160,2.0,service
145,decorate,157,4.0,atmosphere
146,quantity,156,7.0,portion
147,pork chop,155,8.0,chicken
148,margarita,155,5.0,drink
149,lasagna,152,8.0,chicken
150,biryani,152,8.0,chicken
151,option,150,6.0,menu
152,potato,150,8.0,chicken
153,lunch special,148,6.0,menu
154,scallop,148,8.0,chicken
155,guy,148,2.0,service
156,oyster,147,8.0,chicken
157,short rib,146,8.0,chicken
158,decoration,144,4.0,atmosphere
159,oxtail,141,8.0,chicken
