ID,Term,POS,NEG,NEU,TOTAL
0,food,32641,4279,2344,39264
1,service,15018,4129,656,19803
2,staff,6023,877,125,7025
3,price,3369,1297,409,5075
4,atmosphere,3532,147,84,3763
5,drink,2191,412,350,2953
6,server,1734,737,90,2561
7,waiter,1241,1124,98,2463
8,menu,1376,552,466,2394
9,portion,1719,467,90,2276
10,waitress,1038,804,61,1903
11,chicken,899,510,266,1675
12,ambiance,1363,84,64,1511
13,salad,841,341,291,1473
14,pizza,1148,144,157,1449
15,soup,881,244,253,1378
16,reservation,155,398,655,1208
17,music,844,228,102,1174
18,appetizer,661,203,299,1163
19,quality,620,385,85,1090
20,decor,872,103,75,1050
21,owner,833,169,27,1029
22,flavor,697,288,40,1025
23,lunch,509,72,417,998
24,sauce,518,343,91,952
25,dessert,665,121,125,911
26,ambience,810,45,41,896
27,pasta,513,242,129,884
28,steak,533,234,109,876
29,vibe,817,33,15,865
30,bread,570,194,98,862
31,sushi,633,86,92,811
32,wait,135,578,96,809
33,people,714,75,10,799
34,dinner,535,59,194,788
35,taste,542,171,45,758
36,manager,335,378,19,732
37,table,212,350,165,727
38,rice,348,287,83,718
39,cuisine,615,26,40,681
40,burger,522,79,73,674
41,view,619,18,22,659
42,dish,541,72,46,659
43,experience,589,46,12,647
44,cocktail,528,56,62,646
45,brunch,378,39,222,639
46,meal,557,43,30,630
47,wine,431,69,119,619
48,dim sum,442,57,113,612
49,selection,530,53,28,611
50,environment,530,31,9,570
51,entree,272,129,155,556
52,shrimp,319,150,76,545
53,meat,290,183,58,531
54,location,420,56,39,515
55,wait staff,398,102,13,513
56,fish,313,116,83,512
57,fry,281,150,76,507
58,dumpling,366,64,68,498
59,bartender,352,120,20,492
60,calamari,256,137,94,487
61,curry,305,72,80,457
62,space,352,72,30,454
63,chef,317,102,27,446
64,tea,312,70,55,437
65,seafood,349,44,39,432
66,hostess,151,259,18,428
67,sangria,326,56,42,424
68,delivery,189,174,51,414
69,noodle,250,82,71,403
70,breakfast,277,18,107,402
71,wing,258,65,78,401
72,bar,313,33,53,399
73,coffee,253,71,55,379
74,presentation,311,51,16,378
75,fry rice,250,64,60,374
76,salmon,235,89,50,374
77,seating,248,71,46,365
78,host,214,129,19,362
79,tip,45,237,78,360
80,parking,169,141,47,357
81,wait time,85,219,51,355
82,hummus,267,25,56,348
83,variety,306,26,15,347
84,pho,280,19,48,347
85,lamb,251,50,36,337
86,taco,256,42,28,326
87,fried rice,175,76,64,315
88,pad thai,202,59,52,313
89,sandwich,200,56,39,295
90,lady,127,157,9,293
91,management,89,184,18,291
92,plate,143,104,41,288
93,employee,183,97,2,282
94,seat,152,80,47,279
95,time,60,196,23,279
96,breadstick,126,104,42,272
97,bathroom,110,145,14,269
98,food quality,136,103,26,265
99,crowd,92,129,41,262
100,cake,166,48,47,261
101,pancake,189,36,34,259
102,cheese,129,81,49,259
103,desert,170,46,39,255
104,kebab,184,42,21,247
105,special,173,21,43,237
106,place,204,25,7,236
107,hospitality,209,17,2,228
108,restaurant,212,7,7,226
109,soup dumpling,186,19,18,223
110,spring roll,134,34,55,223
111,ramen,168,18,35,221
112,portion size,163,49,8,220
113,bill,28,146,46,220
114,octopus,155,33,31,219
115,side,108,56,55,219
116,interior,180,24,14,218
117,ingredient,168,38,11,217
118,worker,129,82,2,213
119,beer,144,28,40,212
120,attention,192,16,1,209
121,naan,123,51,34,208
122,paella,125,45,34,204
123,line,36,154,11,201
124,beef,110,55,35,200
125,shawarma,131,37,28,196
126,park,89,73,34,196
127,value,171,14,8,193
128,duck,130,38,25,193
129,vegetable,103,61,26,190
130,lamb chop,149,23,16,188
131,falafel,118,32,32,182
132,lobster,89,63,28,180
133,hour,14,149,17,180
134,buffet,118,30,28,176
135,bread stick,88,56,29,173
136,ceviche,133,16,21,170
137,pork,103,36,30,169
138,pricing,97,42,27,166
139,dj,119,23,23,165
140,setting,158,5,1,164
141,main,65,43,55,163
142,ravioli,119,25,16,160
143,rib,107,28,25,160
144,girl,70,87,3,160
145,decorate,151,2,4,157
146,quantity,80,62,14,156
147,pork chop,115,14,26,155
148,margarita,113,30,12,155
149,lasagna,81,47,24,152
150,biryani,78,45,29,152
151,option,124,18,8,150
152,potato,80,53,17,150
153,lunch special,119,15,14,148
154,scallop,88,38,22,148
155,guy,84,60,4,148
156,oyster,94,30,23,147
157,short rib,103,27,16,146
158,decoration,115,13,16,144
159,oxtail,91,36,14,141
160,gratuity,0,120,20,140
161,smell,36,97,6,139
162,happy hour,94,3,41,138
163,waffle,84,32,20,136
164,minute,5,114,13,132
165,dimsum,81,15,34,130
166,martini,111,10,8,129
167,side dish,91,14,24,129
168,sashimi,85,17,27,129
169,room,99,15,13,127
170,platter,91,17,19,127
171,mac,70,31,26,127
172,choice,105,19,2,126
173,meatball,89,18,19,126
174,starter,65,17,41,123
175,bean,70,40,11,121
176,momos,82,14,24,120
177,drunken noodle,80,11,28,119
178,egg,72,34,13,119
179,main course,59,27,33,119
180,wine list,99,12,6,117
181,broccoli,71,35,11,117
182,review,60,39,18,117
183,waitstaff,77,35,3,115
184,chip,56,35,23,114
185,broth,92,15,6,113
186,light,56,43,14,113
187,check,12,77,24,113
188,crust,80,26,5,111
189,bun,75,18,18,111
190,pie,80,16,14,110
191,spaghetti,63,32,15,110
192,roll,78,17,14,109
193,tofu,69,21,19,109
194,takeout,66,13,29,108
195,ice tea,83,18,6,107
196,baklava,86,11,8,105
197,texture,71,33,1,105
198,serving,77,21,6,104
199,empanadas,79,15,9,103
200,area,85,9,8,102
201,fare,73,8,21,102
202,chinese,87,4,10,101
203,mussel,68,17,16,101
204,filet mignon,62,21,16,99
205,deliver,54,33,12,99
206,alfredo,43,40,16,99
207,roti,58,16,24,98
208,ice cream,64,17,16,97
209,chicken parm,61,26,10,97
210,veggie,50,31,16,97
211,lighting,67,23,6,96
212,design,84,6,5,95
213,restroom,40,39,15,94
214,wine selection,83,2,8,93
215,apps,55,16,22,93
216,chair,17,58,18,93
217,sausage,60,18,14,92
218,hookah,64,15,12,91
219,fry chicken,56,18,17,91
220,venue,80,6,4,90
221,serve,66,21,2,89
222,nacho,64,19,5,88
223,cheesecake,63,13,11,87
224,lemonade,61,16,10,87
225,guacamole,55,16,16,87
226,cashier,16,67,4,87
227,noisy,14,71,2,87
228,gnocchi,67,8,11,86
229,spice,62,15,9,86
230,tiramisu,57,19,10,86
231,mixed grill,61,10,13,84
232,kabob,60,10,14,84
233,dip,53,13,18,84
234,floor,7,68,9,84
235,pudding,70,8,5,83
236,risotto,54,18,11,83
237,gravy,30,41,12,83
238,gyro,55,19,8,82
239,entertainment,63,5,13,81
240,fried chicken,60,11,10,81
241,chicken wing,49,15,17,81
242,clam,45,27,9,81
243,french fry,27,31,23,81
244,italian,71,1,8,80
245,momo,61,10,9,80
246,napkin,8,62,10,80
247,tapa,62,3,14,79
248,branzino,59,9,10,78
249,cooking,60,15,2,77
250,pita,55,13,8,76
251,crab,42,16,18,76
252,french toast,44,24,7,75
253,crab cake,40,20,15,75
254,lo mein,47,12,15,74
255,parm,37,26,11,74
256,pastry,49,12,12,73
257,loud,10,63,0,73
258,vegetarian,55,10,7,72
259,juice,59,8,4,71
260,woman,29,40,2,71
261,everyone,69,1,0,70
262,pupusas,52,12,6,70
263,shrimp scampi,35,22,13,70
264,water,28,32,10,70
