ID,Term,TOTAL,Cluster,Cluster_1Word
0,food,1681,1.0,food
1,service,885,2.0,service
2,staff,364,2.0,service
3,atmosphere,335,4.0,atmosphere
4,burger,265,9.0,salad
5,drink,258,5.0,drink
6,price,201,3.0,price
7,menu,193,6.0,menu
8,view,140,4.0,atmosphere
9,waiter,136,2.0,service
10,server,126,2.0,service
11,brunch,117,10.0,reservation
12,waitress,116,2.0,service
13,ambiance,115,4.0,atmosphere
14,decor,91,4.0,atmosphere
15,reservation,88,10.0,reservation
16,lunch,86,10.0,reservation
17,fry,86,8.0,chicken
18,salad,80,9.0,salad
19,appetizer,78,5.0,drink
20,wing,77,8.0,chicken
21,steak,77,8.0,chicken
22,portion,76,7.0,portion
23,music,63,4.0,atmosphere
24,dinner,62,10.0,reservation
25,bar,57,4.0,atmosphere
26,cocktail,55,5.0,drink
27,bartender,55,2.0,service
28,breakfast,53,10.0,reservation
29,beer,50,5.0,drink
30,selection,48,6.0,menu
31,dessert,48,5.0,drink
32,vibe,47,4.0,atmosphere
33,manager,44,2.0,service
34,ambience,43,4.0,atmosphere
35,salmon,41,8.0,chicken
36,location,40,4.0,atmosphere
37,hostess,40,2.0,service
38,space,39,4.0,atmosphere
39,experience,36,12.0,experience
40,wine,36,5.0,drink
41,sushi,36,3.0,price
42,entree,36,5.0,drink
43,meal,33,1.0,food
44,table,33,10.0,reservation
45,people,32,2.0,service
46,toast,31,8.0,chicken
47,happy hour,30,15.0,special
48,quality,30,3.0,price
49,band,29,4.0,atmosphere
50,hamburger,29,8.0,chicken
51,chicken,29,8.0,chicken
52,sandwich,28,8.0,chicken
53,sauce,28,8.0,chicken
54,environment,27,4.0,atmosphere
55,coffee,27,5.0,drink
56,bacon,26,8.0,chicken
57,pickle,25,8.0,chicken
58,wait staff,25,2.0,service
59,cheeseburger,25,8.0,chicken
60,lobster roll,25,8.0,chicken
61,shrimp,25,8.0,chicken
62,short rib,24,8.0,chicken
63,rib,24,8.0,chicken
64,flavor,24,8.0,chicken
65,potato,24,8.0,chicken
66,bread,23,9.0,salad
67,host,22,2.0,service
68,setting,21,4.0,atmosphere
69,dish,21,6.0,menu
70,pancake,21,8.0,chicken
71,seating,20,4.0,atmosphere
72,interior,20,4.0,atmosphere
73,scallop,20,8.0,chicken
74,wait,20,10.0,reservation
75,owner,19,2.0,service
76,pudding,19,8.0,chicken
77,ravioli,19,8.0,chicken
78,door,19,17.0,smell
79,special,19,15.0,special
80,cheese,19,8.0,chicken
81,martini,18,5.0,drink
82,furniture,18,4.0,atmosphere
83,chef,18,2.0,service
84,oyster,17,8.0,chicken
85,french toast,17,8.0,chicken
86,pizza,17,9.0,salad
87,soup,17,9.0,salad
88,beer selection,16,6.0,menu
89,octopus,16,8.0,chicken
90,side,16,,
91,calamari,16,8.0,chicken
92,coleslaw,15,8.0,chicken
93,risotto,15,8.0,chicken
94,crowd,15,10.0,reservation
95,venue,14,4.0,atmosphere
96,burrata,14,8.0,chicken
97,crab cake,14,8.0,chicken
98,bathroom,14,14.0,tip
99,cole slaw,13,8.0,chicken
100,room,13,4.0,atmosphere
101,home fry,13,8.0,chicken
102,filet mignon,13,8.0,chicken
103,diner,13,16.0,restaurant
104,plate,13,7.0,portion
105,management,13,14.0,tip
106,duck,12,8.0,chicken
107,entertainment,12,4.0,atmosphere
108,bloody mary,12,8.0,chicken
109,onion ring,12,8.0,chicken
110,main,12,5.0,drink
111,decorate,11,4.0,atmosphere
112,chandelier,11,4.0,atmosphere
113,desert,11,5.0,drink
114,bellini,11,8.0,chicken
115,taste,11,8.0,chicken
116,place,11,4.0,atmosphere
117,buffet,11,6.0,menu
118,seafood,11,8.0,chicken
119,egg,11,8.0,chicken
120,ribeye,11,8.0,chicken
121,bill,11,,
122,patio,10,4.0,atmosphere
123,presentation,10,11.0,cuisine
124,waffle,10,8.0,chicken
125,tv,10,4.0,atmosphere
126,lamb,10,8.0,chicken
127,seat,10,10.0,reservation
128,parking,10,4.0,atmosphere
129,worker,10,2.0,service
130,nacho,10,8.0,chicken
131,meat,10,8.0,chicken
132,sea bass,10,8.0,chicken
133,cake,10,5.0,drink
134,mimosa,10,5.0,drink
135,lobster,10,8.0,chicken
136,pasta,10,9.0,salad
137,sangria,9,5.0,drink
138,variety,9,6.0,menu
139,brownie,9,8.0,chicken
140,lighting,9,4.0,atmosphere
141,waitstaff,9,2.0,service
142,fish,9,8.0,chicken
143,pricing,9,3.0,price
144,starter,9,8.0,chicken
145,time,9,13.0,delivery
146,hour,9,13.0,delivery
147,bread pudding,8,8.0,chicken
148,design,8,4.0,atmosphere
149,truffle fry,8,8.0,chicken
150,artichoke,8,8.0,chicken
151,cooky,8,8.0,chicken
152,portion size,8,7.0,portion
153,cobb salad,8,8.0,chicken
154,wine list,8,6.0,menu
155,chicken wing,8,8.0,chicken
156,apps,8,5.0,drink
157,mash potato,8,8.0,chicken
158,caesar salad,8,8.0,chicken
159,gnocchi,8,8.0,chicken
160,mac,8,8.0,chicken
161,tart,8,8.0,chicken
162,french fry,8,8.0,chicken
163,delivery,8,13.0,delivery
164,wait time,8,13.0,delivery
165,tip,8,14.0,tip
166,layout,7,4.0,atmosphere
167,mussel,7,8.0,chicken
168,value,7,3.0,price
169,steak tartare,7,8.0,chicken
170,french dip,7,8.0,chicken
171,brunch menu,7,6.0,menu
172,tuna tartare,7,8.0,chicken
173,lady,7,2.0,service
174,chili,7,8.0,chicken
175,food selection,7,4.0,atmosphere
176,clam,7,8.0,chicken
177,prime rib,7,8.0,chicken
178,decoration,7,4.0,atmosphere
179,main course,7,5.0,drink
180,comedy,7,12.0,experience
181,chowder,7,8.0,chicken
182,dressing,7,8.0,chicken
183,glass,7,5.0,drink
184,minute,7,13.0,delivery
185,lettuce,7,8.0,chicken
186,option,6,6.0,menu
187,restaurant,6,16.0,restaurant
188,wine selection,6,6.0,menu
189,set,6,4.0,atmosphere
190,rooftop,6,4.0,atmosphere
191,turkey,6,8.0,chicken
192,brussel sprout,6,8.0,chicken
193,taco,6,8.0,chicken
194,employee,6,2.0,service
195,grill cheese,6,8.0,chicken
196,smell,6,17.0,smell
197,check,6,14.0,tip
198,margarita,5,5.0,drink
199,donut,5,8.0,chicken
200,choice,5,6.0,menu
201,family,5,21.0,family
202,feel,5,22.0,feel
203,inside,5,17.0,smell
204,branzino,5,8.0,chicken
205,weather,5,4.0,atmosphere
206,buffalo wing,5,8.0,chicken
207,conversation,5,4.0,atmosphere
208,lamb shank,5,8.0,chicken
209,food choice,5,6.0,menu
210,champagne,5,5.0,drink
211,hospitality,5,12.0,experience
212,duck confit,5,8.0,chicken
213,dining,5,4.0,atmosphere
214,croque madame,5,12.0,experience
215,serving,5,7.0,portion
216,filet,5,8.0,chicken
217,french onion soup,5,8.0,chicken
218,park,5,4.0,atmosphere
219,chicken sandwich,5,8.0,chicken
220,dip,5,8.0,chicken
221,quesadilla,5,8.0,chicken
222,restroom,5,17.0,smell
223,broccoli,5,8.0,chicken
224,tuna,5,8.0,chicken
225,wrap,5,8.0,chicken
226,sushi roll,5,8.0,chicken
227,omelette,5,8.0,chicken
228,shrimp cocktail,5,8.0,chicken
229,karaoke,5,4.0,atmosphere
230,grit,5,8.0,chicken
231,chair,5,17.0,smell
232,slaw,5,8.0,chicken
233,loud,5,4.0,atmosphere
234,picture,4,,
235,dining room,4,4.0,atmosphere
236,history,4,20.0,thai
237,everyone,4,,
238,crust,4,8.0,chicken
239,benedict,4,8.0,chicken
240,ingredient,4,11.0,cuisine
241,aesthetic,4,4.0,atmosphere
242,avocado toast,4,8.0,chicken
243,brioche,4,8.0,chicken
244,cheesecake,4,8.0,chicken
245,building,4,17.0,smell
246,vault,4,4.0,atmosphere
247,cabbage,4,8.0,chicken
248,cuisine,4,11.0,cuisine
249,food portion,4,7.0,portion
250,interior design,4,4.0,atmosphere
251,platter,4,8.0,chicken
252,light,4,4.0,atmosphere
253,side dish,4,8.0,chicken
254,setup,4,4.0,atmosphere
255,menu option,4,6.0,menu
