Index,Cluster_1Word,POS,NEG,NEU,TOTAL
0,chicken,1714,525,415,2654
1,food,1958,249,157,2364
2,service,1190,438,63,1691
3,price,456,123,87,666
4,atmosphere,358,60,35,453
5,drink,204,50,36,290
6,menu,213,39,37,289
7,reservation,85,87,87,259
8,portion,164,40,10,214
9,delivery,76,101,31,208
10,cuisine,145,12,12,169
11,tip,23,96,26,145
12,salad,90,26,21,137
13,experience,83,26,13,122
14,smell,30,62,18,110
15,thai,42,3,5,50
16,restaurant,26,1,2,29
17,special,16,0,2,18
18,serve,7,6,3,16
19,family,12,2,1,15
20,eat,5,3,0,8
21,feel,4,1,0,5
22,look,3,1,0,4
23,good,1,0,0,1
