ID,Term,POS,NEG,NEU,TOTAL
0,food,1930,244,154,2328
1,service,711,181,37,929
2,price,251,69,35,355
3,staff,243,47,10,300
4,chicken,137,34,37,208
5,dumpling,149,22,22,193
6,portion,124,21,3,148
7,dim sum,96,18,26,140
8,soup dumpling,104,12,11,127
9,atmosphere,115,6,3,124
10,menu,74,21,28,123
11,soup,79,22,18,119
12,drink,97,10,9,116
13,waiter,43,66,6,115
14,quality,54,21,12,87
15,fried rice,48,21,15,84
16,flavor,50,28,1,79
17,noodle,42,17,16,75
18,server,38,31,3,72
19,dish,61,5,4,70
20,wait,7,49,14,70
21,rice,38,23,8,69
22,fry rice,35,18,16,69
23,delivery,27,31,10,68
24,chinese,58,3,5,66
25,cuisine,55,3,3,61
26,taste,37,17,6,60
27,shrimp,33,10,15,58
28,decor,39,11,5,55
29,lunch,28,4,22,54
30,sauce,28,19,6,53
31,people,44,7,1,52
32,broccoli,38,6,8,52
33,pork chop,37,1,9,47
34,pork,32,9,6,47
35,lo mein,28,6,9,43
36,beef,28,6,9,43
37,tip,3,29,11,43
38,table,13,9,20,42
39,owner,32,9,0,41
40,crab,26,6,8,40
41,fish,23,10,7,40
42,meal,28,5,3,36
43,tea,25,8,2,35
44,waitress,13,21,1,35
45,ambiance,28,4,2,34
46,scallion pancake,27,2,5,34
47,duck,22,5,6,33
48,environment,29,1,1,31
49,dinner,14,4,10,28
50,reservation,3,7,18,28
51,experience,23,1,2,26
52,sushi,18,3,4,25
53,wait staff,14,11,0,25
54,cocktail,22,1,1,24
55,selection,18,5,1,24
56,chow fun,17,3,4,24
57,lady,8,13,2,23
58,vibe,18,2,2,22
59,space,17,5,0,22
60,steak,15,4,3,22
61,tofu,11,5,6,22
62,nutcracker,18,1,2,21
63,squid,18,0,3,21
64,spring roll,13,5,3,21
65,vegetable,12,7,2,21
66,lomo,16,0,4,20
67,rib,13,4,3,20
68,plate,12,5,3,20
69,meat,11,9,0,20
70,egg roll,10,7,3,20
71,hot and sour soup,8,3,9,20
72,wait time,4,12,4,20
73,location,13,3,3,19
74,chicken wing,9,5,5,19
75,spare rib,8,7,4,19
76,restaurant,18,0,0,18
77,pork bun,15,2,1,18
78,wonton soup,12,4,2,18
79,hour,0,15,3,18
80,sangria,15,0,2,17
81,value,14,1,2,17
82,seat,13,3,1,17
83,xiao long bao,12,0,4,16
84,takeout,11,0,5,16
85,dessert,8,5,3,16
86,entree,7,2,7,16
87,roast chicken,12,0,3,15
88,ingredient,11,4,0,15
89,pancake,10,4,1,15
90,mapo tofu,10,2,3,15
91,deliver,5,8,2,15
92,crowd,3,10,2,15
93,variety,13,1,0,14
94,ambience,12,1,1,14
95,snail,12,1,1,14
96,special,12,0,2,14
97,flounder,11,0,3,14
98,dimsum,7,3,4,14
99,appetizer,3,5,6,14
100,rice cake,12,0,1,13
101,lomo saltado,12,0,1,13
102,worker,10,3,0,13
103,seating,9,2,2,13
