Index,Cluster_1Word,POS,NEG,NEU,TOTAL
0,service,5016,1974,247,7237
1,food,4088,747,338,5173
2,chicken,2044,1196,556,3796
3,salad,1354,667,409,2430
4,atmosphere,1462,186,79,1727
5,drink,945,350,268,1563
6,reservation,358,406,306,1070
7,price,439,228,78,745
8,menu,380,127,93,600
9,portion,297,111,32,440
10,experience,323,84,27,434
11,smell,89,259,31,379
12,delivery,96,223,42,361
13,tip,124,176,36,336
14,cuisine,167,29,17,213
15,serve,29,52,7,88
16,restaurant,55,5,2,62
17,special,38,8,12,58
18,family,21,8,6,35
19,thai,22,0,1,23
20,eat,8,5,2,15
21,feel,13,0,0,13
22,look,6,1,1,8
23,good,2,0,0,2
