ID,Term,TOTAL,Cluster,Cluster_1Word
0,food,5046,1.0,food
1,service,3070,2.0,service
2,staff,1088,2.0,service
3,server,762,2.0,service
4,waiter,657,2.0,service
5,salad,646,9.0,salad
6,waitress,581,2.0,service
7,atmosphere,535,4.0,atmosphere
8,pasta,535,9.0,salad
9,price,530,3.0,price
10,drink,398,5.0,drink
11,menu,321,6.0,menu
12,portion,309,7.0,portion
13,pizza,288,9.0,salad
14,soup,272,9.0,salad
15,breadstick,272,9.0,salad
16,wait,247,10.0,reservation
17,reservation,231,10.0,reservation
18,bread,218,9.0,salad
19,appetizer,218,5.0,drink
20,manager,197,2.0,service
21,sauce,186,8.0,chicken
22,dinner,181,10.0,reservation
23,dessert,175,5.0,drink
24,wine,170,5.0,drink
25,bread stick,170,9.0,salad
26,calamari,167,8.0,chicken
27,table,155,10.0,reservation
28,chicken,150,8.0,chicken
29,ambiance,142,4.0,atmosphere
30,lunch,134,10.0,reservation
31,wait staff,129,2.0,service
32,meal,127,1.0,food
33,hostess,126,2.0,service
34,wait time,122,13.0,delivery
35,entree,119,5.0,drink
36,quality,118,3.0,price
37,owner,117,2.0,service
38,lasagna,114,8.0,chicken
39,steak,96,8.0,chicken
40,experience,93,12.0,experience
41,alfredo,88,8.0,chicken
42,decor,85,4.0,atmosphere
43,music,83,4.0,atmosphere
44,bartender,81,2.0,service
45,ravioli,78,8.0,chicken
46,location,77,4.0,atmosphere
47,flavor,77,8.0,chicken
48,spaghetti,75,8.0,chicken
49,host,75,2.0,service
50,environment,74,4.0,atmosphere
51,bathroom,70,14.0,tip
52,salmon,69,8.0,chicken
53,ambience,68,4.0,atmosphere
54,people,68,2.0,service
55,dish,64,6.0,menu
56,parking,64,4.0,atmosphere
57,meatball,63,8.0,chicken
58,shrimp,63,8.0,chicken
59,chef,61,2.0,service
60,cuisine,60,11.0,cuisine
61,shrimp scampi,59,8.0,chicken
62,carbonara,58,8.0,chicken
63,cocktail,53,5.0,drink
64,tiramisu,53,5.0,drink
65,chicken parm,52,8.0,chicken
66,plate,51,7.0,portion
67,bar,49,4.0,atmosphere
68,italian,48,11.0,cuisine
69,cake,48,5.0,drink
70,tip,48,14.0,tip
71,taste,47,8.0,chicken
72,special,46,15.0,special
73,management,46,14.0,tip
74,employee,45,2.0,service
75,park,45,4.0,atmosphere
76,bill,45,,
77,selection,43,6.0,menu
78,parm,43,8.0,chicken
79,sangria,41,5.0,drink
80,desert,41,5.0,drink
81,time,41,13.0,delivery
82,vibe,39,4.0,atmosphere
83,brunch,39,10.0,reservation
84,seat,38,10.0,reservation
85,veal,38,8.0,chicken
86,pork chop,37,8.0,chicken
87,presentation,37,11.0,cuisine
88,seating,36,4.0,atmosphere
89,garlic bread,35,8.0,chicken
90,food quality,35,3.0,price
91,gnocchi,34,8.0,chicken
92,crowd,34,10.0,reservation
93,value,33,3.0,price
94,chicken marsala,33,8.0,chicken
95,main,33,5.0,drink
96,mussel,32,8.0,chicken
97,coffee,32,5.0,drink
98,place,31,4.0,atmosphere
99,parmigiana,31,8.0,chicken
100,floor,30,17.0,smell
101,minute,30,13.0,delivery
102,risotto,29,8.0,chicken
103,crust,29,8.0,chicken
104,delivery,29,13.0,delivery
105,cheese,29,8.0,chicken
106,hospitality,28,12.0,experience
107,space,28,4.0,atmosphere
108,smell,28,17.0,smell
109,room,27,4.0,atmosphere
