ID,Term,POS,NEG,NEU,TOTAL
0,food,3977,741,328,5046
1,service,2299,666,105,3070
2,staff,903,158,27,1088
3,server,520,215,27,762
4,waiter,342,288,27,657
5,salad,351,171,124,646
6,waitress,322,242,17,581
7,atmosphere,501,21,13,535
8,pasta,293,164,78,535
9,price,340,140,50,530
10,drink,243,91,64,398
11,menu,163,91,67,321
12,portion,228,64,17,309
13,pizza,227,24,37,288
14,soup,137,68,67,272
15,breadstick,126,104,42,272
16,wait,36,181,30,247
17,reservation,28,82,121,231
18,bread,118,72,28,218
19,appetizer,112,53,53,218
20,manager,73,117,7,197
21,sauce,88,83,15,186
22,dinner,132,10,39,181
23,dessert,120,30,25,175
24,wine,113,23,34,170
25,bread stick,85,56,29,170
26,calamari,80,57,30,167
27,table,37,89,29,155
28,chicken,57,71,22,150
29,ambiance,132,6,4,142
30,lunch,69,4,61,134
31,wait staff,104,22,3,129
32,meal,111,6,10,127
33,hostess,36,80,10,126
34,wait time,32,69,21,122
35,entree,51,36,32,119
36,quality,41,61,16,118
37,owner,99,11,7,117
38,lasagna,60,37,17,114
39,steak,44,38,14,96
40,experience,82,10,1,93
41,alfredo,36,38,14,88
42,decor,74,7,4,85
43,music,70,10,3,83
44,bartender,51,29,1,81
45,ravioli,56,11,11,78
46,location,61,11,5,77
47,flavor,38,37,2,77
48,spaghetti,38,25,12,75
49,host,33,39,3,75
50,environment,67,5,2,74
51,bathroom,19,49,2,70
52,salmon,39,22,8,69
53,ambience,66,2,0,68
54,people,60,5,3,68
55,dish,47,10,7,64
56,parking,40,17,7,64
57,meatball,40,12,11,63
58,shrimp,29,28,6,63
59,chef,42,17,2,61
60,cuisine,55,4,1,60
61,shrimp scampi,30,19,10,59
62,carbonara,31,20,7,58
63,cocktail,45,4,4,53
64,tiramisu,37,8,8,53
65,chicken parm,26,17,9,52
66,plate,14,30,7,51
67,bar,35,8,6,49
68,italian,41,1,6,48
69,cake,31,9,8,48
70,tip,14,27,7,48
71,taste,30,16,1,47
72,special,31,6,9,46
73,management,17,29,0,46
74,employee,27,17,1,45
75,park,22,14,9,45
76,bill,10,31,4,45
77,selection,35,6,2,43
78,parm,16,22,5,43
79,sangria,30,10,1,41
80,desert,27,8,6,41
81,time,8,31,2,41
82,vibe,38,1,0,39
83,brunch,23,5,11,39
84,seat,19,15,4,38
85,veal,15,12,11,38
86,pork chop,30,3,4,37
87,presentation,25,11,1,37
88,seating,25,10,1,36
89,garlic bread,23,4,8,35
90,food quality,13,17,5,35
91,gnocchi,25,4,5,34
92,crowd,11,15,8,34
93,value,29,3,1,33
94,chicken marsala,20,7,6,33
95,main,12,12,9,33
96,mussel,21,3,8,32
97,coffee,17,12,3,32
98,place,26,3,2,31
99,parmigiana,16,4,11,31
100,floor,1,27,2,30
101,minute,1,26,3,30
