id,review_no_per_rest,restaurant_id,restaurant_type,review_rating,review_date,review_body,restaurant_name,restaurant_address
14870,126,39,American,5,05/19/2022,"My friend Patrice had been to Blackbarn before. When she shared a link to the website, I knew we had to go for brunch. I enjoyed the blood orange margarita--fruity and strong with just a hint of spice. We ordered Johnny Cakes for the table--served with whipped ricotta, honeycomb, fresh fruit--simply divine! There was a mix-up in the kitchen and our main dishes got lost in the shuffle. By way of apology, the head chef sent complementary cornbread muffins to our table, then Avocado Toast. He brought our dishes over to the table himself. The manager also came over to our table and said he would provide a deep discount for the inconvenience on the bill. We were also presented with an order of delectable Apple Cider Donuts & caramel sauce on the house. We appreciated that the staff went above and beyond to make things right.",BLACKBARN Restaurant,19 E 26th St
4617,0,10,American,4,08/22/2022,"Our waiter was awesome! I'm so sorry I can't remember his name cause he was a doll.  Stuffed burgers were good,  although mine was a little overcooked. Seems like restaurants do not want to give you an extremely rare burger.  The best French onion soup. Almost as good as my husband's!  We ate outside  - weather was nice and not too hot.  There's a lovely park across the street  - Memorial Park maintained by the local VFW - and its not only beautifully laid out but carefully maintained. Clean as could be. As it should be, especially since it's dedicated to all the men in town who have made the ultimate sacrifice. Every war since WWI is represented.  Great place to walk off your dinner. Definitely will go again.",The Iron Horse Restaurant,20 Washington Ave
4618,1,10,American,5,06/23/2022,"I grew up going to the 'Horse and am happy to say it is as fantastic as ever!  Had the best meal of my whole NJ vacation (stuffed cheeseburger and really good fries) and we had excellent service courtesy of Mike!  Complimentary cole slaw and pickles so good.  (No ""iron horse mints"" but that must be b/c of covid....) Highly recommend my hometown and the Iron Horse!",The Iron Horse Restaurant,20 Washington Ave
4619,2,10,American,5,05/19/2022,50 years in business for a reason! We were their first outdoor diners for this season! Beautiful park across the street makes for a nice atmosphere.  Best burgers around!,The Iron Horse Restaurant,20 Washington Ave
4620,3,10,American,1,04/19/2023,"Worst meal I have had in a long time.  I don't usually write reviews but had to this time.  My glass was dirty, fried eggplant was so greasy and thought they could redeem themselves with their fries.... well they couldn't.  Service was sub par.  The Cole slaw and pickles were good.  Would I go back.... no.",The Iron Horse Restaurant,20 Washington Ave
4621,4,10,American,5,02/18/2023,"Best burger around. Place has been there for half a century and it's pretty obvious why. Fair prices, quality food. Burgers are actually stuffed with cheese. Incredible.",The Iron Horse Restaurant,20 Washington Ave
4622,5,10,American,4,05/12/2023,Such a cute place with unique food options. We were just passing through so probably won’t get a chance to go back but definitely check it out if you’re in the area!,The Iron Horse Restaurant,20 Washington Ave
4623,6,10,American,5,05/20/2019,"Great spot, right next to the RR tracks, for a nice cool refreshment, delicious burger, sandwiches, salads or other light fare such as chicken wings. Warm, cozy feeling in this somewhat sprawling and interesting layout of multiple rooms for dining and imbibing. All sorts of nostalgic pictures and memorabilia. I had lobster bisque soup which was excellent.  We both had a plain burger with the piping hot, scrumptious french fries. Also, the sangria was nice and fruity.  Tasted a bit like Yago. (See photos) The service was attentive and quick. In sum, we were well satisfied.",The Iron Horse Restaurant,20 Washington Ave
4624,7,10,American,4,05/19/2020,"The service is very attentive. The seating layout is a bit complicated, and I was a little cramped in my booth with a 6-top right next to me. The food was great! I don't know what they put on their fries but I loved the smoky flavor. The stuffed burger kind of squirted the cheese out of the back, but no harm no foul - you just pick up some of that delicious river of cheese and smear it on your next bite of burger. The blueberry crisp a la mode is amazingly good. It's insanely sweet (which I love), but omg the portion size? I've had bowls of oatmeal with way less of a portion size!",The Iron Horse Restaurant,20 Washington Ave
4625,8,10,American,5,05/19/2022,"Excellent experience, delicious food and great prices. Had a burger stuffed with cheddar cheese that melted in your mouth as you bite into it. The steak fries were good also. The lemonade was Great too. Pickles and coleslaw served on the side, and you can even have seconds, with no charge for the slaw and pickles. I was so excited and pleased as a hamburger lover.  Highly recommend this place. While looking at other guest and their meals, can't wait to try other menu items.",The Iron Horse Restaurant,20 Washington Ave
