id,review_no_per_rest,restaurant_id,restaurant_type,review_rating,review_date,review_body,restaurant_name,restaurant_address
0,0,0,Chinese,4,06/23/2022,"Good canto-style Sichuan food — meaning, not too spicy or salty. Less catered towards modern Chinese tastes, but nonetheless very tasty. Prices are what you would normally expect for New York. Execution of food is good. Service is courteous and friendly.",The Best Sichuan,47 W 39th St
1,1,0,Chinese,4,10/21/2022,I ordered hot pot chicken and honestly it was delicious! It was reasonably priced at $20. (Most dishes here are in the $25 to $40 range here.). The spice level was med high and just perfect. Rice is not free but rath $1.  Service was great as well!,The Best Sichuan,47 W 39th St
2,2,0,Chinese,4,05/19/2022,"New Sichuan restaurant in an area that already has many good sichuan options can be tricky, especially with a name that might seem like a tall  claim…but The Best Sichuan do live up to it. Excellent authentic szechuan food, nice service. Good value for money. The ambiance was pretty nice and cozy. The staff were very kind and hospitable. We had a great time. Highly recommend this place!",The Best Sichuan,47 W 39th St
3,3,0,Chinese,5,06/23/2022,I am always down for sichuan food especially with friend. You get to order many dishes and try them all. Family style dining is the way to go guys.    Called for a reservation but you don’t need to for a Friday night. It’s barely half filled and that should change after this awesome review of course. The place can use some touch up especially when entering. It looks a little chaotic and your eye will gravitate to the second floor balcony dining area. Next time I want that spot.    We skip directly to the entree. Appetizers are for people who are not hungry and none of us fit into that category. Omg the food. Chili pepper fish fillet is out of this world. Just the pepper corn is a little messy to eat. I wish they would just grind it down to powder. Double cook pork is on par and rest of the dinner.    The service lady is nice with very very little English. We managed to get our order correctly thou.    Thanks for the lemon in the water that is a great touch.,The Best Sichuan,47 W 39th St
4,4,0,Chinese,4,10/21/2022,"Pretty good Chinese food in NYC. I tried chicken with chilly sauce, hot and sour soup and dumplings. Chicken was good, fresh just a little spicy. My most favorite was hot and sour soup. Dumplings were ok. Will try more dishes next time.",The Best Sichuan,47 W 39th St
5,5,0,Chinese,5,05/19/2022,"New Sichuan favorite in Midtown. Great stop if you are craving for authentic Sichuan staples like mapo tofu, shredded beef with green peppers and Dan Dan noodles!  I had 45 mins before my next meeting on a week day. We ordered the lunch special and the food came out so quick! Service was excellent too.",The Best Sichuan,47 W 39th St
6,6,0,Chinese,5,09/21/2022,"Great restaurant and very nice staff! We entered the restaurant 45 minutes before closing, and the staff didn’t rushed us to go. The waitress was very nice and helpful while we chose what to eat, and the food was amazing! The restaurant feels very calm and nice. Overall very recommend!",The Best Sichuan,47 W 39th St
7,7,0,Chinese,5,01/19/2023,"Absolutely authentic Chinese food, very good sichuan courses, one of the best Chinese restaurants I experienced outside of china including Europe and America! 100usd for two people, worth the price !",The Best Sichuan,47 W 39th St
8,8,0,Chinese,5,04/28/2023,"The food is extraordinary. Authentic, but not too spicy and salty. Great customer service and interior decor! I love the vibe in there.",The Best Sichuan,47 W 39th St
9,9,0,Chinese,5,12/20/2022,The name of this restaurant is no lie. It's packed with flavor. The atmosphere is warm and cute. It's affordable. We're very happy we heard about it.,The Best Sichuan,47 W 39th St
10,10,0,Chinese,5,09/21/2022,"One of the best Sichuanese restaurant in the area, they do get busy during lunch but that only means their food is really good. They have a solid lunch special menu, this place is definitely a must try.",The Best Sichuan,47 W 39th St
11,11,0,Chinese,5,01/19/2023,They are not messing around with spice!  My wife is usually underwhelmed with a 5 star level spice dish but tonight she met her match!  The king pao chicken that I ordered was just right.  The food and service was just fantastic and I'm sorry that we were headed to a show and couldn't bring the leftovers.  The portion sizes for dinner are easily enough for 2-3 people.,The Best Sichuan,47 W 39th St
12,12,0,Chinese,5,09/21/2022,"I’ve gone to The Best Sichuan for years and it is one of the best chinese as well as sichuan restaurants in NYC.    Before they relocated to 39thST a few years ago and hit the pandemic, they used to be on 38thST between 6th and Broadway. The restaurant was always full of customers and well-known for great sichuan food in the area.    This current location is even better as it has more upscale looking with high ceiling and a beautiful bar. They carry all kinds of liquors with reasonable price.    If you are not so familiar with sichuan cuisine(generally spicy) , you could go with their delicious and authentic fresh made dumplings. Also, their fried rice is not so greasy but really flavorful. My personal favorite is dry pepper style chicken. If you like spicy peppery stir fried chicken, this is something you would have to try. Also, the dry pot style is amazing as the meat is so tender and flavorful with all different veggies in the pot and it is served with small stove on your table and keep the food warm until you are done. It is highly recommended as well.    In terms of service, they provide customers with best service. The food and drinks come always fast. All the waitstaffs are so nice and attentive, and especially the head waiter is very kind! They have a lot of regular customers visiting frequently from the area as the service is amazing. It is truly hard to find a place like The Best Sichuan that serve great quality food with reasonable price and great service. Highly highly recommend here!!!",The Best Sichuan,47 W 39th St
13,13,0,Chinese,5,06/23/2022,I was wanting Chinese food and found this place on Google and am really happy that I chose to go in. The inside is gorgeous and the staff was very accommodating. Highly recommend the chicken lo mein and orange chicken. The restaurant accommodated the request for white meat for the orange chicken which was very nice of them.  Would definitely come back again.,The Best Sichuan,47 W 39th St
14,14,0,Chinese,5,05/19/2022,"We were walking through Manhattan and stumbled across this cute place. They have indoor seating if you’re fully vaccinated and outdoor seating. We came at about 6:30 on a Sunday and it was almost completely empty, so no wait. The staff are very friendly and professional; our server was attentive and the food was amazing! Do yourself a favor and try the pork dumplings in chili oil 10/10.",The Best Sichuan,47 W 39th St
15,15,0,Chinese,5,11/20/2022,"My partner and I got Chicken fried rice and general Tao’s to share. The portions were perfect and the food was AMAZING. BF said it was some of the best food he’s ever had. Staff is super attentive and from order to our food coming out was a total of 4 minutes. Came after a Broadway show and it was a super quick walk and got seated right away(we did eat @4pm so a bit early). BF made sure to eat every pieces of rice on the plate. GT was a little spicy but as someone who doesn’t do spice I was totally fine. Recommended by a friend, great pick!!",The Best Sichuan,47 W 39th St
