id,review_no_per_rest,restaurant_id,restaurant_type,review_rating,review_date,review_body,restaurant_name,restaurant_address
23291,42,69,Italian,1,05/19/2020,"Food was not bad.  Could have provided larger portions all around considering the prices.  Now for the reason to not go:  SERVICE - Trying to ask a question, no one to be found, yet there were 10 or more waiters.  Trying to get a drink, takes one drink order, there were 4 of us and the other 3 had to wait until the waiter returned.  Placing an appetizer order and placing a dinner order, forgettaboutit!!  You are waiting!!  Did I say there were 10 plus waiters in the restaurant.  Try asking a question, exactly, try asking a question.  Oh, I forgot, ONE bartender(it was a Friday night), very nice young lady, but there is no way you should have one bartender behind the bar handling table and bar orders on a Friday night.  BTW Manager made pretend he cared when these issues we brought to his attention.  My recommendation:  Skip this place.  The star above is because I could rate it -5!!",Arno,141 W 38th St
57629,8,248,Italian,4,12/27/2022,Nice atmosphere & delicious food.  You have to try the Santa Mule while it's available!!!,Mulberry Street Restaurant,739 Rahway Ave
22399,47,66,Italian,2,05/19/2022,"Food was great, even pasta was not al dente.  Also some salt in the pasta was missing but maybe because I was born and raised in Italy so these people probably don't know exactly how authentic italian food can taste.  But it was good overall.  Meat was great and artichokes were fantastic.  Food came quickly. Bussers were nice and professional.  Unfortunately Eduardo ( or Edward) ,our waiter , wasn't good at all. He had an attitude, he rolled his eyes more than once to us which is totally not acceptable from a waiter who is serving food to a customer but we tried to ignore him. The dude really hates his job  you can tell ,  so that ruined the experience a bit.  The rest of the waiters seemed nice.  Good food overall but it's really huge quantity. Not sure I would repeat.",Carmine's Italian Restaurant - Upper West Side,2450 Broadway
13079,0,33,Italian,5,08/22/2022,"The starter is great. The sweetness of tomato is perfectly balanced by prosciutto, held together by the Motorola cheese and fresh basil. The balsamic vinegar then adds a light good flavor. Home made bread had a good texture, not too hard not too soft. We ordered a seafood pasta with a bolognese as the side. Surprisingly, The side spaghetti comes as a full size. Good background music. Highly recommended!",Triangolo Restaurant,96-01 Corona Ave.
13080,1,33,Italian,5,05/19/2022,"Specials are nicely prepared.Pasta is homemade. Had a very tasty Rib eye steak, temp was spot on.  Friendly service and attentive. The homemade wine is very good. Will be back again soon.",Triangolo Restaurant,96-01 Corona Ave.
13081,2,33,Italian,5,05/19/2022,"My wife and I decided to forego Manhattan and stay local in queens. To our surprise this gem was hidden in Corona. The decor was a little rustic but but lovely. The restaurant appeared clean, friendly staff and nice music. The homemade wine and bread were very tasty. Perfect setting for a date night or family dinner. I would recommend this restaurant.    If I had to knit-pick- may be the bread could have been toasted (I assume it’s possible on request).",Triangolo Restaurant,96-01 Corona Ave.
13082,4,33,Italian,4,12/20/2022,"The seafood fetucini was delicious, the alfredo was on the bland side. The baked clam was salty, and the best one we ordered was the chicken with broccoli. The food took too long to come out.",Triangolo Restaurant,96-01 Corona Ave.
13083,5,33,Italian,5,09/21/2022,"We’ve always been loyal to Parkside, but the service has gone downhill in the past years, and so we wanted to try somewhere new. We tried Il Triangolo after seeing the positive reviews online, and the reviews do not do it justice. The staff was friendly and attentive, the calamari appetizer was delicious and HUGE (there were just two of us eating dinner), and we shared the fettuccine Alfredo and the gnocchi with ragu sauce. Both were worth the wait, as they were prepared intentionally and deliciously. We savored over every bite until we couldn’t eat another bite. Il Triangolo will be a definite must on our list now on!",Triangolo Restaurant,96-01 Corona Ave.
13084,6,33,Italian,5,05/19/2022,"I am so glad they opened Il Triangolo back up. Classsic Italian restaurant in the heart of Corona, Queens.    What are they known for? In my opinion, their homemade meat sauce is to die for. I ordered the chicken Marsala, and lemme tell you, most Marsala I’ve had is salty, but Il Triangolo got it right. Hint of the red wine, along with well cooked tender chicken and three types of mushrooms.    Wife ordered the Fruitti di Mare, the seafood was fresh, the pasta almost al dente. Very well cooked.    Staff was friendly and they really do treat you like a long lost friend. Do I recommend it? There’s a reason why they got 5-stars from me.    Try it once, I can guarantee you’ll go back again.",Triangolo Restaurant,96-01 Corona Ave.
13085,7,33,Italian,4,07/23/2022,"Food was good but some items on the menu were overpriced. service was slow, there was only one waitress on at the time, no music at all. Not what I expected.",Triangolo Restaurant,96-01 Corona Ave.
13086,8,33,Italian,2,04/19/2023,"Beware of the filet Mignon when it's really a deep fried pork chop. Service is good but misleading.  Pasta was not freshly made like we were told. Carafe of sangria is $48. On top of that I threw up from spoiled food, my son in law had diarrhea and my girlfriend threw up after eating leftovers next day. I can't believe this, never had this before.",Triangolo Restaurant,96-01 Corona Ave.
